Order ID,Branch Location,Branch Name,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area,Recency,Frequency,Monetary_Sum,Avg_Quantity,Avg_Purchase_Value,Loyalty_Index,Value_Tier,Engagement_Score,Cluster
4318,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,ML6PLW42IFWUQLEBUGT3S6FG,Delivered,2,2,18900.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4317,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,MLDV510V8CVKM3X9NHGIJ7UG,Delivered,2,2,18900.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4316,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLJFT1NPOZMEI7FMQAS6J31Q,Delivered,3,3,27510.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4315,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLD0CF8JLICUO9UUVS5HFADG,Delivered,2,2,18340.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4314,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,ML0VHZVQHIXEE2DFUXAJ0IAG,Cancelled,2,2,18900.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4313,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLTLKEFB4IHEMOGRFZV2QOZG,Delivered,2,2,18340.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4310,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLDPE0T4MOOKMWADNMZU08OA,Delivered,2,2,18340.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4309,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLEDXZDLL1IESXYQTYOH0JZA,Delivered,2,2,18340.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4304,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,MLGE7APDLCN0ATUN972UJGFA,Cancelled,1,1,3392.75,2021-05-26,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4298,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a2c,ONGA POWDER 50Gs GOG,3100.0,MLP1H0YZ050ECJ5I0LEPWQPQ,Cancelled,10,10,31000.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
